State,Vehicle_Type,Weather_Condition,Road_Condition,Road_Type,Time_of_Day,Speed_kmph,Crash_Force_kN,Helmet_Used,Seatbelt_Used,Alcohol_Involved,Mobile_Usage,Emergency_Response_Time_min,Driver_License,Gender,Severity,Number_of_Fatalities,Year,Month,Timing
Uttar Pradesh,Truck,Foggy,Damaged,Rural,Afternoon,76.9,101.56,Not Applicable,Yes,Yes,Yes,24,Yes,Male,Serious,6,2024,February,16:18
Rajasthan,Truck,Clear,Damaged,Urban,Night,64.6,87.6,Not Applicable,Yes,Yes,Yes,18.2,Yes,Male,Serious,5,2022,April,0:07
Gujarat,Bike,Rainy,Dry,Rural,Morning,74.2,99.68,No,Not Applicable,No,No,13.4,Yes,Male,Serious,0,2021,January,6:36
Maharashtra,Car,Clear,Damaged,Highway,Morning,75,99.22,Not Applicable,Yes,Yes,No,13.8,Expired,Male,Serious,6,2022,August,10:25
Maharashtra,Car,Clear,Damaged,Highway,Afternoon,81.4,109.02,Not Applicable,Yes,Yes,No,12.6,No,Male,Serious,8,2020,December,13:29
Maharashtra,Car,Rainy,Wet,Urban,Morning,66,90.74,Not Applicable,Yes,Yes,No,10.3,Yes,Female,Serious,3,2021,December,5:48
Rajasthan,Bike,Rainy,Dry,Urban,Morning,37.9,59.48,No,Not Applicable,No,No,27.7,Yes,Female,Serious,0,2024,October,11:17
Maharashtra,Car,Clear,Wet,Rural,Morning,62.2,82.4,Not Applicable,Yes,Yes,No,32.1,Yes,Male,Serious,6,2020,November,5:16
Rajasthan,Car,Rainy,Dry,Rural,Afternoon,48.9,73.5,Not Applicable,Yes,Yes,No,22.4,Expired,Male,Serious,3,2019,December,14:18
Uttar Pradesh,Car,Foggy,Damaged,Highway,Evening,74.6,99.94,Not Applicable,Yes,Yes,No,31.3,Yes,Female,Serious,6,2022,November,17:57
Maharashtra,Bike,Clear,Dry,Highway,Night,82,114.85,Yes,Not Applicable,Yes,No,31.5,Expired,Male,Serious,3,2021,February,0:39
Rajasthan,Car,Clear,Wet,Urban,Morning,45.5,61.64,Not Applicable,Yes,Yes,Yes,24.8,Yes,Male,Serious,6,2023,June,9:36
Karnataka,Truck,Rainy,Dry,Urban,Morning,61,96.62,Not Applicable,Yes,No,No,11.3,Yes,Male,Serious,1,2019,July,10:19
Gujarat,Bike,Clear,Dry,Rural,Night,84,116.91,Yes,Not Applicable,Yes,No,33.9,Yes,Female,Serious,2,2019,January,23:18
Gujarat,Bike,Clear,Dry,Urban,Evening,71.2,100.54,Yes,Not Applicable,No,Yes,22.4,Yes,Male,Serious,1,2021,October,19:34
Uttar Pradesh,Bike,Rainy,Damaged,Urban,Evening,37.5,53.25,No,Not Applicable,No,No,26.4,Yes,Female,Serious,0,2021,March,17:17
Tamil Nadu,Car,Clear,Wet,Urban,Evening,61.7,82.43,Not Applicable,Yes,No,No,16.1,Expired,Female,Serious,5,2020,September,20:02
Gujarat,Bike,Rainy,Wet,Urban,Night,70.7,102.66,Yes,Not Applicable,No,No,15.7,Yes,Female,Serious,0,2020,October,0:53
Uttar Pradesh,Bus,Foggy,Wet,Urban,Evening,67.4,93.88,Not Applicable,Yes,No,No,15.6,No,Male,Serious,17,2024,October,18:30
Uttar Pradesh,Bike,Rainy,Dry,Highway,Morning,77.1,106.53,Yes,Not Applicable,Yes,No,17.5,Yes,Female,Serious,2,2024,May,8:04
Tamil Nadu,Bike,Rainy,Wet,Rural,Morning,57.5,76.39,Yes,Not Applicable,Yes,No,16.9,Yes,Male,Serious,3,2020,March,6:12
Maharashtra,Car,Clear,Dry,Urban,Morning,46.5,69.87,Not Applicable,Yes,Yes,Yes,22,No,Female,Serious,4,2023,June,8:47
Karnataka,Car,Clear,Damaged,Urban,Morning,53.3,78.64,Not Applicable,No,No,Yes,20.3,Yes,Male,Serious,2,2020,August,7:33
Tamil Nadu,Bus,Rainy,Damaged,Urban,Morning,47.4,71.8,Not Applicable,Yes,No,No,14.8,No,Male,Serious,9,2023,April,4:28
Uttar Pradesh,Bike,Foggy,Damaged,Urban,Afternoon,63,82.81,Yes,Not Applicable,Yes,Yes,16.6,Yes,Female,Serious,0,2023,November,15:52
Gujarat,Car,Foggy,Damaged,Urban,Morning,46.4,70.39,Not Applicable,Yes,No,No,25.3,No,Female,Serious,4,2020,April,9:55
Tamil Nadu,Bike,Rainy,Damaged,Highway,Evening,73.6,109.03,Yes,Not Applicable,No,Yes,21.3,No,Female,Serious,3,2019,July,20:48
Tamil Nadu,Car,Clear,Wet,Rural,Morning,55.5,77.1,Not Applicable,Yes,Yes,Yes,13.7,Yes,Male,Serious,6,2023,March,10:39
Karnataka,Bike,Clear,Damaged,Urban,Afternoon,58.3,91.71,Yes,Not Applicable,No,No,26.9,No,Male,Serious,3,2020,January,16:26
Uttar Pradesh,Car,Rainy,Dry,Rural,Afternoon,74.8,116.6,Not Applicable,Yes,Yes,No,21,Yes,Female,Serious,3,2019,June,12:20
Tamil Nadu,Car,Clear,Wet,Highway,Evening,79.9,106.99,Not Applicable,Yes,No,Yes,16.8,Yes,Male,Serious,3,2020,October,19:01
Tamil Nadu,Truck,Rainy,Dry,Urban,Evening,64.1,87.58,Not Applicable,Yes,No,No,22.1,No,Male,Serious,3,2022,August,17:57
Tamil Nadu,Truck,Foggy,Damaged,Urban,Afternoon,39.5,61.43,Not Applicable,Yes,Yes,No,15.4,Yes,Male,Serious,5,2023,August,15:58
Tamil Nadu,Truck,Clear,Damaged,Urban,Morning,62.3,88.98,Not Applicable,Yes,No,No,23.6,No,Male,Serious,3,2023,February,7:28
Uttar Pradesh,Bus,Clear,Damaged,Highway,Evening,76.8,109.04,Not Applicable,Yes,Yes,Yes,16,Yes,Male,Serious,14,2020,September,18:51
Karnataka,Bus,Clear,Wet,Urban,Night,43.7,66.63,Not Applicable,Yes,No,Yes,29.6,Yes,Male,Serious,13,2021,March,3:46
Gujarat,Bike,Clear,Wet,Urban,Evening,70.6,96.3,Yes,Not Applicable,No,No,28,Yes,Male,Serious,2,2019,March,18:12
Uttar Pradesh,Bike,Rainy,Dry,Urban,Night,52.7,77.21,Yes,Not Applicable,Yes,No,31.7,Yes,Male,Serious,2,2021,September,21:59
Gujarat,Car,Rainy,Damaged,Urban,Night,55.4,85.5,Not Applicable,Yes,No,No,23.3,Expired,Female,Serious,4,2019,January,2:00
Gujarat,Bike,Clear,Damaged,Highway,Morning,78.6,102.23,Yes,Not Applicable,Yes,Yes,28.2,Yes,Male,Serious,3,2021,November,9:40
Gujarat,Bus,Rainy,Dry,Urban,Night,40,54.18,Not Applicable,Yes,Yes,No,15.9,Yes,Male,Serious,13,2020,February,0:46
Gujarat,Bus,Clear,Damaged,Rural,Morning,67.8,102.28,Not Applicable,Yes,Yes,Yes,16.3,Yes,Male,Serious,14,2024,January,11:01
Karnataka,Car,Rainy,Damaged,Rural,Evening,53.7,72.59,Not Applicable,Yes,Yes,No,32.9,Yes,Female,Serious,3,2020,December,20:30
Maharashtra,Car,Clear,Wet,Rural,Evening,55.1,87.23,Not Applicable,Yes,No,No,16.8,Yes,Male,Serious,4,2023,March,19:28
Rajasthan,Bike,Clear,Dry,Urban,Night,68.7,94.96,Yes,Not Applicable,Yes,No,22,Yes,Female,Serious,0,2020,May,21:30
Gujarat,Bike,Clear,Damaged,Urban,Morning,66.2,101.44,Yes,Not Applicable,Yes,Yes,17.6,Yes,Male,Serious,0,2024,February,7:53
Gujarat,Bike,Rainy,Wet,Urban,Night,48.3,67.15,Yes,Not Applicable,No,No,15.8,Expired,Male,Serious,3,2019,May,0:04
Gujarat,Car,Foggy,Wet,Highway,Morning,72.1,95.97,Not Applicable,Yes,No,Yes,30.7,Yes,Male,Serious,3,2022,August,8:46
Rajasthan,Bike,Rainy,Damaged,Urban,Afternoon,56.1,85.62,Yes,Not Applicable,Yes,No,21,Expired,Female,Serious,4,2023,May,13:59
Gujarat,Bike,Clear,Dry,Rural,Night,62.3,82.84,No,Not Applicable,Yes,No,10.4,Yes,Female,Serious,2,2020,October,23:33
Tamil Nadu,Car,Foggy,Damaged,Urban,Morning,60.9,93.15,Not Applicable,Yes,Yes,No,30.7,Yes,Male,Serious,6,2024,May,9:18
Maharashtra,Bike,Rainy,Damaged,Urban,Morning,47.1,66.81,Yes,Not Applicable,Yes,Yes,19.3,Yes,Female,Serious,3,2022,October,11:10
Gujarat,Car,Clear,Wet,Urban,Afternoon,63.3,88.31,Not Applicable,Yes,No,Yes,10.1,Yes,Female,Serious,2,2023,December,12:07
Gujarat,Bike,Clear,Dry,Rural,Night,79.6,117.77,Yes,Not Applicable,No,No,15.2,No,Female,Serious,0,2019,January,22:53
Karnataka,Bike,Foggy,Wet,Rural,Afternoon,69,98.32,Yes,Not Applicable,Yes,No,13.9,Yes,Male,Serious,0,2019,May,14:59
Maharashtra,Bike,Clear,Dry,Highway,Morning,81.8,112.93,No,Not Applicable,Yes,Yes,19.6,Yes,Male,Serious,2,2020,October,9:52
Gujarat,Bike,Foggy,Damaged,Urban,Afternoon,39.2,60.75,Yes,Not Applicable,No,Yes,23.4,Expired,Male,Serious,3,2024,January,16:49
Uttar Pradesh,Car,Rainy,Dry,Urban,Morning,53.7,83.19,Not Applicable,Yes,No,Yes,23.4,Yes,Female,Serious,2,2019,December,9:42
Gujarat,Bike,Foggy,Wet,Rural,Morning,51.2,69.97,Yes,Not Applicable,Yes,No,20.5,Yes,Male,Serious,0,2019,November,6:33
Uttar Pradesh,Bike,Clear,Wet,Rural,Afternoon,57.8,81.12,Yes,Not Applicable,Yes,No,16.2,Yes,Male,Serious,3,2024,September,15:45
Tamil Nadu,Truck,Clear,Damaged,Highway,Morning,82.1,112.15,Not Applicable,Yes,No,No,10.5,Yes,Male,Serious,3,2019,April,8:34
Tamil Nadu,Bus,Clear,Dry,Urban,Afternoon,52.3,80.37,Not Applicable,Yes,Yes,Yes,11.2,Yes,Male,Serious,13,2019,October,15:18
Uttar Pradesh,Car,Rainy,Damaged,Urban,Night,46.2,69.83,Not Applicable,Yes,No,No,23.7,No,Male,Serious,5,2024,August,22:16
Rajasthan,Car,Clear,Damaged,Urban,Morning,62.5,95.1,Not Applicable,Yes,Yes,No,17.3,Yes,Male,Serious,6,2023,January,11:08
Tamil Nadu,Car,Clear,Wet,Urban,Night,56.5,84.88,Not Applicable,Yes,Yes,No,20.2,Yes,Male,Serious,6,2021,June,22:57
Maharashtra,Car,Clear,Wet,Rural,Morning,52.2,76.3,Not Applicable,Yes,Yes,Yes,19.9,Yes,Female,Serious,5,2024,August,8:28
Maharashtra,Truck,Clear,Wet,Rural,Afternoon,82.5,107.71,Not Applicable,No,No,Yes,11.9,Yes,Male,Serious,4,2024,June,12:44
Karnataka,Car,Clear,Damaged,Urban,Night,67.8,93.78,Not Applicable,Yes,Yes,No,25.8,Yes,Male,Serious,6,2022,September,3:14
Rajasthan,Bike,Foggy,Damaged,Urban,Night,58.8,90.33,Yes,Not Applicable,No,Yes,16,Yes,Male,Serious,2,2023,December,21:11
Rajasthan,Car,Clear,Damaged,Urban,Night,59.1,93.12,Not Applicable,Yes,Yes,No,12.4,Yes,Female,Serious,3,2020,April,21:02
Tamil Nadu,Bike,Rainy,Damaged,Rural,Morning,63.8,100.11,Yes,Not Applicable,Yes,Yes,17.5,Yes,Female,Serious,3,2021,January,4:06
Rajasthan,Bike,Clear,Wet,Highway,Morning,87,116.09,Yes,Not Applicable,No,No,26.6,Expired,Female,Serious,0,2023,March,7:15
Tamil Nadu,Car,Clear,Damaged,Urban,Morning,65.7,87.27,Not Applicable,Yes,Yes,Yes,23.9,Yes,Male,Serious,3,2024,December,4:12
Uttar Pradesh,Bike,Clear,Wet,Urban,Evening,73.1,103.87,No,Not Applicable,No,No,10.6,Expired,Female,Serious,3,2022,February,18:54
Uttar Pradesh,Bus,Clear,Damaged,Rural,Morning,64.8,92.53,Not Applicable,Yes,Yes,No,21.2,No,Male,Serious,18,2022,March,11:01
Gujarat,Car,Rainy,Damaged,Urban,Morning,68.4,100.07,Not Applicable,Yes,No,No,13.8,Yes,Male,Serious,3,2020,March,6:16
Tamil Nadu,Bus,Clear,Damaged,Urban,Morning,45.5,71.53,Not Applicable,No,Yes,No,18.1,Yes,Male,Serious,13,2019,March,6:11
Tamil Nadu,Car,Foggy,Damaged,Urban,Night,45.1,67.49,Not Applicable,Yes,No,No,14,No,Female,Serious,5,2019,December,21:19
Uttar Pradesh,Bike,Clear,Damaged,Rural,Morning,69.8,101.74,Yes,Not Applicable,No,Yes,10.4,Yes,Male,Serious,0,2021,October,10:00
Rajasthan,Truck,Clear,Dry,Urban,Morning,53.6,81.61,Not Applicable,Yes,Yes,No,11.9,Yes,Male,Serious,2,2023,June,10:58
Tamil Nadu,Car,Rainy,Damaged,Urban,Night,41.4,55.21,Not Applicable,Yes,No,No,11,No,Female,Serious,5,2023,July,3:55
Rajasthan,Bus,Clear,Wet,Highway,Morning,75.2,101.83,Not Applicable,No,No,Yes,15.8,Yes,Male,Serious,10,2023,October,9:05
Rajasthan,Bike,Clear,Damaged,Rural,Morning,60.6,88.11,Yes,Not Applicable,No,No,31.4,Yes,Female,Serious,2,2020,July,11:08
Tamil Nadu,Bike,Rainy,Wet,Urban,Evening,57.3,75.12,Yes,Not Applicable,No,No,25.6,Yes,Female,Serious,0,2024,April,18:19
Tamil Nadu,Car,Rainy,Wet,Rural,Afternoon,78.1,110.71,Not Applicable,Yes,No,No,14.4,Yes,Female,Serious,2,2023,January,15:47
Karnataka,Car,Rainy,Damaged,Rural,Morning,64.6,92.69,Not Applicable,Yes,Yes,No,26.9,Yes,Female,Serious,6,2021,March,10:21
Rajasthan,Bike,Rainy,Dry,Urban,Morning,48.1,72.45,Yes,Not Applicable,No,No,31.8,No,Female,Serious,2,2023,October,11:17
Karnataka,Bike,Rainy,Wet,Urban,Morning,52.3,76.33,Yes,Not Applicable,No,No,30.6,Yes,Female,Serious,0,2020,December,7:16
Maharashtra,Truck,Clear,Damaged,Rural,Night,80.6,117.93,Not Applicable,Yes,Yes,No,14.5,Yes,Male,Serious,5,2020,January,22:57
Uttar Pradesh,Bus,Foggy,Dry,Urban,Morning,43,64.3,Not Applicable,Yes,No,No,29.7,No,Male,Serious,9,2023,January,8:42
Tamil Nadu,Bus,Foggy,Dry,Urban,Morning,63.9,92.35,Not Applicable,Yes,No,No,21.1,Yes,Male,Serious,9,2019,February,4:08
Karnataka,Bus,Foggy,Dry,Rural,Afternoon,69.9,109.25,Not Applicable,Yes,Yes,Yes,24.2,Yes,Male,Serious,10,2019,March,12:27
Gujarat,Car,Clear,Damaged,Urban,Afternoon,58.3,86.02,Not Applicable,Yes,Yes,No,12.1,Expired,Female,Serious,6,2022,July,15:15
Karnataka,Car,Clear,Damaged,Rural,Afternoon,71.5,101.14,Not Applicable,Yes,Yes,Yes,14.8,Yes,Female,Serious,5,2019,July,12:17
Tamil Nadu,Car,Clear,Dry,Highway,Morning,80.4,111.54,Not Applicable,Yes,Yes,Yes,14.5,Yes,Female,Serious,2,2020,March,4:33
Maharashtra,Car,Clear,Dry,Urban,Night,71.9,104.58,Not Applicable,Yes,Yes,No,25,Yes,Female,Serious,2,2024,March,23:21
Karnataka,Bike,Foggy,Damaged,Rural,Morning,60.9,90.82,Yes,Not Applicable,No,Yes,25.7,Expired,Male,Serious,0,2022,December,6:35
Uttar Pradesh,Bike,Clear,Dry,Rural,Morning,62.6,97.38,Yes,Not Applicable,No,No,27.6,Yes,Male,Serious,1,2024,June,8:11
Maharashtra,Car,Foggy,Damaged,Urban,Morning,38.9,53.92,Not Applicable,Yes,No,Yes,13.3,Expired,Female,Serious,4,2020,December,10:08
Gujarat,Bike,Clear,Wet,Urban,Afternoon,65.9,95.81,No,Not Applicable,No,Yes,16.7,Yes,Female,Serious,0,2022,January,13:02
Rajasthan,Car,Rainy,Wet,Highway,Evening,76.6,109.18,Not Applicable,Yes,No,Yes,11.6,Yes,Male,Serious,2,2019,May,17:19
Tamil Nadu,Car,Clear,Wet,Highway,Morning,82.3,119.34,Not Applicable,Yes,Yes,No,22.8,Yes,Male,Serious,3,2021,April,11:32
Uttar Pradesh,Car,Clear,Dry,Urban,Night,65.5,94.83,Not Applicable,Yes,No,No,17.3,No,Male,Serious,3,2024,October,1:59
Maharashtra,Truck,Clear,Damaged,Urban,Morning,69.8,111.13,Not Applicable,Yes,No,Yes,10.3,Expired,Male,Serious,5,2024,September,8:33
Maharashtra,Car,Clear,Damaged,Rural,Afternoon,67,88.57,Not Applicable,Yes,Yes,No,24.3,No,Female,Serious,4,2023,August,15:24
Uttar Pradesh,Bus,Clear,Damaged,Urban,Morning,63.1,86.56,Not Applicable,Yes,No,No,17.2,No,Male,Serious,14,2020,March,4:39
Maharashtra,Truck,Foggy,Dry,Urban,Afternoon,63.9,88.7,Not Applicable,Yes,Yes,No,18.6,No,Male,Serious,3,2023,September,13:50
Karnataka,Car,Rainy,Damaged,Rural,Evening,72.7,113.43,Not Applicable,Yes,Yes,No,15.5,Yes,Female,Serious,3,2019,January,17:09
Karnataka,Bike,Rainy,Wet,Urban,Morning,64.9,91.1,Yes,Not Applicable,No,No,28.9,Yes,Male,Serious,2,2020,October,10:13
Rajasthan,Car,Clear,Wet,Rural,Morning,62.8,88.33,Not Applicable,Yes,No,Yes,13,Expired,Male,Serious,3,2020,February,6:08
Uttar Pradesh,Car,Clear,Damaged,Rural,Afternoon,84.4,117.92,Not Applicable,Yes,Yes,No,13.4,Yes,Female,Serious,3,2021,June,14:35
Karnataka,Bike,Clear,Dry,Urban,Morning,57.2,89.39,Yes,Not Applicable,Yes,No,30.5,Yes,Female,Serious,0,2022,September,11:18
Uttar Pradesh,Car,Clear,Damaged,Urban,Morning,56.7,90.01,Not Applicable,No,No,No,28.4,Yes,Male,Serious,3,2024,May,7:49
Karnataka,Car,Clear,Wet,Urban,Evening,71.6,94.36,Not Applicable,Yes,No,No,20.9,Yes,Female,Serious,3,2020,January,19:00
Gujarat,Bike,Rainy,Dry,Rural,Evening,62.1,87.02,Yes,Not Applicable,Yes,No,11.5,Yes,Female,Serious,2,2019,July,17:46
Uttar Pradesh,Car,Foggy,Wet,Rural,Evening,72.6,101.95,Not Applicable,Yes,No,No,17,Yes,Male,Serious,2,2024,April,19:23
Rajasthan,Car,Rainy,Dry,Rural,Morning,71.8,106.63,Not Applicable,Yes,Yes,No,21.4,Yes,Male,Serious,5,2022,March,5:28
Gujarat,Bike,Clear,Damaged,Urban,Night,51.6,79.74,Yes,Not Applicable,Yes,No,10.6,Yes,Male,Serious,3,2024,November,21:49
Uttar Pradesh,Car,Clear,Damaged,Urban,Morning,65.3,99.23,Not Applicable,Yes,No,No,27,Yes,Female,Serious,4,2022,July,11:47
Tamil Nadu,Bike,Foggy,Damaged,Urban,Morning,38.2,60.09,Yes,Not Applicable,Yes,No,29.4,Yes,Female,Serious,3,2021,January,8:00
Gujarat,Truck,Rainy,Damaged,Urban,Evening,40,60.3,Not Applicable,Yes,Yes,Yes,16.7,Yes,Male,Serious,3,2024,April,19:38
Karnataka,Truck,Rainy,Wet,Urban,Afternoon,41.9,60.38,Not Applicable,Yes,Yes,No,13.5,Yes,Male,Serious,5,2021,September,12:49
Tamil Nadu,Bike,Foggy,Damaged,Urban,Night,68.2,108.44,Yes,Not Applicable,No,Yes,28.6,Yes,Female,Serious,2,2024,September,0:34
Gujarat,Bike,Rainy,Damaged,Highway,Afternoon,75.2,103.61,Yes,Not Applicable,Yes,Yes,15.3,Yes,Male,Serious,0,2019,March,16:48
Karnataka,Car,Clear,Wet,Urban,Afternoon,71.5,102.59,Not Applicable,Yes,Yes,No,15.2,Yes,Female,Serious,3,2021,March,13:11
Gujarat,Truck,Rainy,Dry,Rural,Evening,72.8,104.22,Not Applicable,Yes,No,Yes,10.9,Expired,Male,Serious,4,2021,August,17:25
Tamil Nadu,Bus,Rainy,Dry,Highway,Afternoon,78.1,101.81,Not Applicable,Yes,Yes,No,18.5,No,Male,Serious,13,2024,February,15:57
Gujarat,Car,Clear,Wet,Rural,Morning,74.7,113.65,Not Applicable,Yes,Yes,No,28.9,Yes,Male,Serious,6,2024,October,6:29
Tamil Nadu,Bike,Clear,Dry,Urban,Morning,72.3,105.99,Yes,Not Applicable,No,No,33.2,No,Female,Serious,0,2024,August,5:49
Rajasthan,Bike,Foggy,Damaged,Highway,Morning,71,95.9,Yes,Not Applicable,Yes,No,19.3,Yes,Male,Serious,0,2021,August,4:16
Rajasthan,Bike,Foggy,Wet,Highway,Morning,83.4,119.79,Yes,Not Applicable,No,No,17.1,Yes,Female,Serious,2,2024,December,10:11
Gujarat,Bike,Clear,Wet,Urban,Night,44.9,59.2,Yes,Not Applicable,Yes,No,19,Yes,Female,Serious,3,2023,May,23:16
Maharashtra,Car,Clear,Dry,Urban,Morning,56.1,80.08,Not Applicable,Yes,No,Yes,19.3,Yes,Female,Serious,1,2021,December,8:25
Uttar Pradesh,Truck,Clear,Wet,Urban,Night,54.4,80.44,Not Applicable,Yes,No,No,13,Expired,Male,Serious,3,2023,November,0:00
Uttar Pradesh,Bike,Rainy,Dry,Urban,Evening,68.2,105.89,Yes,Not Applicable,No,No,14.9,Yes,Female,Serious,1,2022,June,20:12
Karnataka,Truck,Rainy,Wet,Rural,Afternoon,69,103.42,Not Applicable,Yes,Yes,No,13.1,Yes,Male,Serious,6,2021,March,16:51
Rajasthan,Bike,Clear,Dry,Highway,Afternoon,83.3,110.45,Yes,Not Applicable,No,Yes,24,Yes,Female,Serious,1,2020,November,16:45
Tamil Nadu,Bike,Clear,Damaged,Rural,Morning,77.4,114.27,No,Not Applicable,Yes,No,18.7,Yes,Female,Serious,3,2024,April,7:33
Gujarat,Truck,Clear,Wet,Rural,Morning,61.6,92.07,Not Applicable,Yes,Yes,No,15,Expired,Male,Serious,4,2019,February,5:05
Gujarat,Car,Rainy,Wet,Urban,Night,64,90.79,Not Applicable,Yes,No,No,28.4,Yes,Male,Serious,4,2021,January,3:02
Maharashtra,Truck,Rainy,Dry,Rural,Morning,50,73.59,Not Applicable,Yes,No,Yes,24.8,No,Male,Serious,3,2019,April,10:23
Karnataka,Car,Clear,Dry,Urban,Afternoon,64.8,88.45,Not Applicable,Yes,No,No,34.7,Expired,Female,Serious,2,2023,December,12:40
Tamil Nadu,Bike,Clear,Damaged,Highway,Afternoon,75.6,108.77,Yes,Not Applicable,No,Yes,27.5,Yes,Male,Serious,2,2023,April,13:12
Uttar Pradesh,Truck,Rainy,Dry,Urban,Afternoon,56.7,89.67,Not Applicable,Yes,Yes,No,16.1,Yes,Male,Serious,5,2023,March,15:58
Rajasthan,Bus,Rainy,Wet,Highway,Morning,71.3,94.41,Not Applicable,Yes,No,No,14.7,No,Male,Serious,14,2021,November,8:04
Maharashtra,Bike,Rainy,Wet,Urban,Morning,68.2,89.57,Yes,Not Applicable,Yes,No,21.1,Yes,Female,Serious,0,2023,July,4:07
Tamil Nadu,Truck,Rainy,Damaged,Rural,Morning,58.1,86.45,Not Applicable,Yes,No,No,26.2,No,Male,Serious,3,2020,September,10:29
Tamil Nadu,Car,Clear,Wet,Highway,Afternoon,83.5,110.88,Not Applicable,Yes,Yes,No,19.5,Yes,Female,Serious,3,2019,October,13:54
Rajasthan,Truck,Clear,Damaged,Urban,Afternoon,43,62.49,Not Applicable,Yes,Yes,Yes,26.8,Yes,Male,Serious,6,2023,January,14:15
Tamil Nadu,Bike,Clear,Damaged,Urban,Morning,68.2,96.07,Yes,Not Applicable,Yes,Yes,19.3,Yes,Female,Serious,0,2023,October,6:16
Uttar Pradesh,Car,Clear,Wet,Urban,Morning,53.1,78.51,Not Applicable,Yes,Yes,No,25.6,Yes,Male,Serious,3,2020,December,6:41
Tamil Nadu,Bike,Clear,Damaged,Urban,Evening,41.6,61.5,Yes,Not Applicable,Yes,Yes,20.8,Yes,Male,Serious,0,2022,July,18:06
Uttar Pradesh,Car,Clear,Wet,Rural,Morning,63.6,86.86,Not Applicable,Yes,Yes,No,14.5,Yes,Female,Serious,3,2024,January,5:39
Karnataka,Car,Clear,Wet,Urban,Morning,41.5,61.38,Not Applicable,Yes,Yes,Yes,13.8,Yes,Female,Serious,6,2021,July,10:43
Rajasthan,Bike,Clear,Wet,Urban,Morning,62.1,86.52,No,Not Applicable,No,No,18,Expired,Male,Serious,3,2022,April,5:46
Karnataka,Car,Rainy,Dry,Urban,Morning,49.8,65.04,Not Applicable,Yes,Yes,No,32,Yes,Male,Serious,5,2023,February,11:25
Maharashtra,Bike,Clear,Wet,Urban,Morning,68.5,102.48,No,Not Applicable,No,No,21.7,Yes,Male,Serious,0,2023,December,8:35
Tamil Nadu,Car,Rainy,Dry,Urban,Evening,64.8,103,Not Applicable,Yes,Yes,No,33.6,Yes,Male,Serious,5,2021,June,19:11
Maharashtra,Bus,Clear,Dry,Urban,Morning,63.8,88.21,Not Applicable,No,Yes,Yes,19.7,Yes,Male,Serious,13,2021,July,7:57
Karnataka,Car,Clear,Damaged,Rural,Afternoon,68.8,107.69,Not Applicable,Yes,No,Yes,22.2,Expired,Female,Serious,4,2019,February,16:18
Karnataka,Bike,Clear,Dry,Urban,Morning,65.2,99.43,No,Not Applicable,No,No,11.5,No,Female,Serious,2,2020,August,7:51
Maharashtra,Car,Clear,Wet,Rural,Evening,68.5,93.11,Not Applicable,Yes,Yes,No,10.3,Yes,Male,Serious,3,2021,September,18:45
Tamil Nadu,Bike,Foggy,Wet,Urban,Night,70.3,102.65,Yes,Not Applicable,No,Yes,22,Yes,Female,Serious,2,2021,May,3:53
Uttar Pradesh,Bike,Foggy,Damaged,Rural,Evening,55.6,81.47,No,Not Applicable,No,Yes,13.1,Yes,Female,Serious,0,2019,April,17:51
Karnataka,Car,Rainy,Dry,Urban,Evening,49.7,65.71,Not Applicable,Yes,Yes,Yes,11.6,Yes,Male,Serious,2,2021,December,17:19
Uttar Pradesh,Bike,Clear,Damaged,Urban,Morning,69.9,100.56,Yes,Not Applicable,Yes,Yes,18.4,Yes,Female,Serious,3,2021,September,6:16
Tamil Nadu,Bike,Clear,Wet,Highway,Morning,78.3,107.51,Yes,Not Applicable,No,No,20.5,Expired,Male,Serious,3,2019,November,7:00
Maharashtra,Truck,Rainy,Dry,Highway,Evening,81,116.77,Not Applicable,Yes,No,No,32.1,Expired,Male,Serious,3,2020,October,17:55
Rajasthan,Bus,Clear,Damaged,Highway,Evening,79.4,104.03,Not Applicable,Yes,No,Yes,25.1,Yes,Male,Serious,12,2021,December,20:54
Karnataka,Car,Foggy,Dry,Rural,Morning,74.6,114.51,Not Applicable,Yes,No,Yes,34.3,No,Male,Serious,2,2020,August,10:15
Karnataka,Bike,Rainy,Dry,Urban,Morning,54.1,72.46,Yes,Not Applicable,Yes,Yes,19.7,Yes,Female,Serious,2,2021,May,8:02
Gujarat,Bike,Clear,Damaged,Urban,Morning,51.3,71.75,No,Not Applicable,Yes,No,11,Yes,Male,Serious,3,2020,May,11:59
Tamil Nadu,Bike,Rainy,Damaged,Rural,Night,68.5,89.5,Yes,Not Applicable,Yes,No,18.5,Yes,Male,Serious,0,2020,January,1:16
Karnataka,Bike,Rainy,Dry,Highway,Morning,72.7,113.05,No,Not Applicable,No,No,12.7,Yes,Female,Serious,0,2023,October,11:38
Uttar Pradesh,Car,Clear,Dry,Highway,Afternoon,78,119.63,Not Applicable,Yes,No,No,26.4,Yes,Male,Serious,2,2022,April,16:19
Tamil Nadu,Bike,Clear,Dry,Rural,Afternoon,62.1,91.78,No,Not Applicable,Yes,Yes,13.7,Yes,Female,Serious,2,2024,May,13:53
Gujarat,Bike,Clear,Wet,Urban,Night,64.4,102,Yes,Not Applicable,Yes,No,19.8,Yes,Female,Serious,3,2022,April,2:34
